UFVPY184_contig2670,mitochondrion
UFVPY184_contig3617,mitochondrion
UFVPY184_contig3330,mitochondrion
UFVPY184_contig616,mitochondrion
UFVPY184_contig84,mitochondrion
UFVPY184_contig1025,mitochondrion
UFVPY184_contig4406,mitochondrion
UFVPY184_contig4850,mitochondrion
UFVPY184_contig1565,mitochondrion
UFVPY184_contig3732,mitochondrion
UFVPY184_contig3487,mitochondrion
UFVPY184_contig1035,mitochondrion
UFVPY184_contig1388,mitochondrion
UFVPY184_contig1034,mitochondrion
UFVPY184_contig2198,mitochondrion
UFVPY184_contig4764,mitochondrion
UFVPY184_contig2429,mitochondrion
UFVPY184_contig659,mitochondrion
UFVPY184_contig3728,mitochondrion
UFVPY184_contig4962,mitochondrion
UFVPY184_contig4765,mitochondrion
UFVPY184_contig4633,mitochondrion
UFVPY184_contig4569,mitochondrion
UFVPY184_contig4148,mitochondrion
UFVPY184_contig2675,mitochondrion
UFVPY184_contig2223,mitochondrion
UFVPY184_contig2199,mitochondrion
UFVPY184_contig3486,mitochondrion
UFVPY184_contig5624,mitochondrion
UFVPY184_contig5623,mitochondrion
UFVPY184_contig5610,mitochondrion
UFVPY184_contig5607,mitochondrion
UFVPY184_contig5596,mitochondrion
UFVPY184_contig5591,mitochondrion
UFVPY184_contig5589,mitochondrion
UFVPY184_contig5586,mitochondrion
UFVPY184_contig5584,mitochondrion
UFVPY184_contig5579,mitochondrion
UFVPY184_contig5578,mitochondrion
UFVPY184_contig5577,mitochondrion
UFVPY184_contig5575,mitochondrion
UFVPY184_contig5571,mitochondrion
UFVPY184_contig5569,mitochondrion
UFVPY184_contig5568,mitochondrion
UFVPY184_contig5565,mitochondrion
UFVPY184_contig5560,mitochondrion
UFVPY184_contig5559,mitochondrion
UFVPY184_contig5554,mitochondrion
UFVPY184_contig5553,mitochondrion
UFVPY184_contig5552,mitochondrion
UFVPY184_contig5545,mitochondrion
UFVPY184_contig5542,mitochondrion
UFVPY184_contig5541,mitochondrion
UFVPY184_contig5540,mitochondrion
UFVPY184_contig5535,mitochondrion
UFVPY184_contig5534,mitochondrion
UFVPY184_contig5526,mitochondrion
UFVPY184_contig5522,mitochondrion
UFVPY184_contig5520,mitochondrion
UFVPY184_contig5518,mitochondrion
UFVPY184_contig5513,mitochondrion
UFVPY184_contig5511,mitochondrion
UFVPY184_contig5510,mitochondrion
UFVPY184_contig5508,mitochondrion
UFVPY184_contig5506,mitochondrion
UFVPY184_contig5500,mitochondrion
UFVPY184_contig5492,mitochondrion
UFVPY184_contig5490,mitochondrion
UFVPY184_contig5488,mitochondrion
UFVPY184_contig5487,mitochondrion
UFVPY184_contig5468,mitochondrion
UFVPY184_contig5466,mitochondrion
UFVPY184_contig5464,mitochondrion
UFVPY184_contig5463,mitochondrion
UFVPY184_contig5452,mitochondrion
UFVPY184_contig5451,mitochondrion
UFVPY184_contig5445,mitochondrion
UFVPY184_contig5442,mitochondrion
UFVPY184_contig5436,mitochondrion
UFVPY184_contig5423,mitochondrion
UFVPY184_contig5418,mitochondrion
UFVPY184_contig5416,mitochondrion
UFVPY184_contig5415,mitochondrion
UFVPY184_contig5413,mitochondrion
UFVPY184_contig5412,mitochondrion
UFVPY184_contig5411,mitochondrion
UFVPY184_contig5396,mitochondrion
UFVPY184_contig5394,mitochondrion
UFVPY184_contig5390,mitochondrion
UFVPY184_contig5388,mitochondrion
UFVPY184_contig5384,mitochondrion
UFVPY184_contig5382,mitochondrion
UFVPY184_contig5381,mitochondrion
UFVPY184_contig5380,mitochondrion
UFVPY184_contig5379,mitochondrion
UFVPY184_contig5375,mitochondrion
UFVPY184_contig5372,mitochondrion
UFVPY184_contig5371,mitochondrion
UFVPY184_contig5367,mitochondrion
UFVPY184_contig5366,mitochondrion
UFVPY184_contig5359,mitochondrion
UFVPY184_contig5354,mitochondrion
UFVPY184_contig5353,mitochondrion
UFVPY184_contig5350,mitochondrion
UFVPY184_contig5349,mitochondrion
UFVPY184_contig5348,mitochondrion
UFVPY184_contig5347,mitochondrion
UFVPY184_contig5344,mitochondrion
UFVPY184_contig5343,mitochondrion
UFVPY184_contig5342,mitochondrion
UFVPY184_contig5339,mitochondrion
UFVPY184_contig5338,mitochondrion
UFVPY184_contig5331,mitochondrion
UFVPY184_contig5330,mitochondrion
UFVPY184_contig5328,mitochondrion
UFVPY184_contig5325,mitochondrion
UFVPY184_contig5323,mitochondrion
UFVPY184_contig5317,mitochondrion
UFVPY184_contig5309,mitochondrion
UFVPY184_contig5308,mitochondrion
UFVPY184_contig5307,mitochondrion
UFVPY184_contig5304,mitochondrion
UFVPY184_contig5302,mitochondrion
UFVPY184_contig5294,mitochondrion
UFVPY184_contig5291,mitochondrion
UFVPY184_contig5286,mitochondrion
UFVPY184_contig5280,mitochondrion
UFVPY184_contig5277,mitochondrion
UFVPY184_contig5276,mitochondrion
UFVPY184_contig5274,mitochondrion
UFVPY184_contig5272,mitochondrion
UFVPY184_contig5267,mitochondrion
UFVPY184_contig5266,mitochondrion
UFVPY184_contig5261,mitochondrion
UFVPY184_contig5255,mitochondrion
UFVPY184_contig5248,mitochondrion
UFVPY184_contig5247,mitochondrion
UFVPY184_contig5238,mitochondrion
UFVPY184_contig5233,mitochondrion
UFVPY184_contig5229,mitochondrion
UFVPY184_contig5227,mitochondrion
UFVPY184_contig5226,mitochondrion
UFVPY184_contig5225,mitochondrion
UFVPY184_contig5218,mitochondrion
UFVPY184_contig5201,mitochondrion
UFVPY184_contig5196,mitochondrion
UFVPY184_contig5195,mitochondrion
UFVPY184_contig5191,mitochondrion
UFVPY184_contig5185,mitochondrion
